Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Id,Customer Lname,Customer State,Customer Zipcode,order date (DateOrders),Order City,Order Country,Order Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Quantity,Sales,Order Item Total,Product Name,shipping date (DateOrders),Shipping Mode,Product Weight,Weight Unit
PAYMENT,3,2,-640.2000122,309.7200012,Late delivery,1,Sporting Goods,Brooklyn,EE. UU.,16660,Oneil,NY,11236,12/03/2017 4:17,Surabaya,Indonesia,73107,18.03000069,0.059999999,176422,327.75,1,327.75,309.7200012,Smart watch ,12/06/2017 4:17,Second Class,1,kg
PAYMENT,2,4,74.72000122,393.269989,Advance shipping,0,Cameras ,Caguas,Puerto Rico,13264,King,PR,725,10/14/2017 14:31,Utrecht,Países Bajos,69711,58.77000046,0.129999995,173026,452.0400085,1,452.0400085,393.269989,Web Camera,10/16/2017 14:31,Standard Class,1,kg
PAYMENT,6,4,122.75,438.4100037,Late delivery,1,Crafts,Caguas,Puerto Rico,14748,,PR,725,11/05/2017 6:25,Aschaffenburg,Alemania,71195,23.0699997,0.050000001,174510,461.480011,1,461.480011,438.4100037,Porcelain crafts,11/11/2017 6:25,Standard Class,1,kg
TRANSFER,6,4,33.08000183,189,Late delivery,1,Women's Apparel,Tallahassee,EE. UU.,12280,Smith,FL,32308,8/20/2017 22:07,Toulouse,Francia,65965,11,0.059999999,164857,50,4,200,189,Nike Men's Dri-FIT Victory Golf Polo,8/26/2017 22:07,Standard Class,1,kg
TRANSFER,5,4,32.40000153,180,Late delivery,1,Women's Apparel,New Bedford,EE. UU.,9821,Smith,MA,2740,8/31/2017 4:46,Derby,Reino Unido,66669,20,0.100000001,166649,50,4,200,180,Nike Men's Dri-FIT Victory Golf Polo,09/05/2017 4:46,Standard Class,1,kg
TRANSFER,2,4,6.170000076,97.94999695,Advance shipping,0,Golf Balls,Caguas,Puerto Rico,7200,Smith,PR,725,12/19/2015 21:34,Guwahati,India,24176,2,0.02,60483,19.98999977,5,99.94999695,97.94999695,Glove It Women's Mod Oval Golf Glove,12/21/2015 21:34,Standard Class,1,kg
TRANSFER,3,4,8.550000191,85.44999695,Advance shipping,0,Golf Balls,Caguas,Puerto Rico,7045,Smith,PR,725,04/11/2016 11:36,Arlington,Estados Unidos,31957,4.5,0.050000001,79882,17.98999977,5,89.94999695,85.44999695,Hirzl Women's Soffft Flex Golf Glove,4/14/2016 11:36,Standard Class,1,kg
CASH,2,1,61.09999847,129.9900055,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,1001,Thomas,PR,725,9/23/2015 1:54,Turin,Italia,18160,0,0,45391,129.9900055,1,129.9900055,129.9900055,Nike Men's CJ Elite 2 TD Football Cleat,9/25/2015 1:54,First Class,1,kg
CASH,2,1,29.60000038,128.6900024,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,1001,Thomas,PR,725,9/23/2015 1:54,Turin,Italia,18160,1.299999952,0.01,45387,129.9900055,1,129.9900055,128.6900024,Nike Men's CJ Elite 2 TD Football Cleat,9/25/2015 1:54,First Class,1,kg
DEBIT,2,4,37.34999847,110.4899979,Advance shipping,0,Men's Footwear,Aurora,EE. UU.,10291,Smith,CO,80013,12/31/2015 10:21,Taiping,Malasia,24966,19.5,0.150000006,62544,129.9900055,1,129.9900055,110.4899979,Nike Men's CJ Elite 2 TD Football Cleat,01/02/2016 10:21,Standard Class,1,kg
DEBIT,3,4,33.90000153,299.9599915,Advance shipping,0,Children's Clothing,Los Angeles,EE. UU.,18020,Woodard,CA,90002,12/23/2017 0:45,Manila,Filipinas,74467,57.13999939,0.159999996,177782,357.1000061,1,357.1000061,299.9599915,Children's heaters,12/26/2017 0:45,Standard Class,1,kg
DEBIT,4,4,-9.960000038,33.18999863,Shipping on time,0,Shop By Sport,Salina,EE. UU.,10790,Smith,KS,67401,3/23/2016 12:30,Waitakere,Nueva Zelanda,30658,6.800000191,0.170000002,76586,39.99000168,1,39.99000168,33.18999863,Under Armour Girls' Toddler Spine Surge Runni,3/27/2016 12:30,Standard Class,1,kg
TRANSFER,4,4,15.27000046,101.8199997,Shipping on time,0,Fitness Accessories,New Orleans,EE. UU.,8508,Smith,LA,70117,9/24/2015 12:14,Le Plessis-Robinson,Francia,18258,3.150000095,0.029999999,45630,34.99000168,3,104.9700012,101.8199997,Under Armour Hustle Storm Medium Duffle Bag,9/28/2015 12:14,Standard Class,1,kg
PAYMENT,5,4,35.31000137,126.0899963,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,3570,Nelson,PR,725,06/04/2017 21:42,San Cristóbal de Las Casas,México,60689,3.900000095,0.029999999,151896,129.9900055,1,129.9900055,126.0899963,Nike Men's CJ Elite 2 TD Football Cleat,06/09/2017 21:42,Standard Class,1,kg
PAYMENT,5,4,19.5699997,45.5,Late delivery,1,Women's Apparel,Caguas,Puerto Rico,3570,Nelson,PR,725,06/04/2017 21:42,San Cristóbal de Las Casas,México,60689,4.5,0.090000004,151894,50,1,50,45.5,Nike Men's Dri-FIT Victory Golf Polo,06/09/2017 21:42,Standard Class,1,kg
PAYMENT,5,4,-6.960000038,34.79000092,Late delivery,1,Shop By Sport,Caguas,Puerto Rico,3570,Nelson,PR,725,06/04/2017 21:42,San Cristóbal de Las Casas,México,60689,5.199999809,0.129999995,151895,39.99000168,1,39.99000168,34.79000092,Under Armour Girls' Toddler Spine Surge Runni,06/09/2017 21:42,Standard Class,1,kg
PAYMENT,6,4,53.04000092,110.4899979,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,10451,Soto,PR,725,1/14/2016 5:04,Bekasi,Indonesia,25910,19.5,0.150000006,64856,129.9900055,1,129.9900055,110.4899979,Nike Men's CJ Elite 2 TD Football Cleat,1/20/2016 5:04,Standard Class,1,kg
DEBIT,4,2,18.78000069,59.99000168,Late delivery,1,Cleats,Caguas,Puerto Rico,7652,Guerrero,PR,725,02/10/2015 18:09,Tegucigalpa,Honduras,2793,0,0,7014,59.99000168,1,59.99000168,59.99000168,Perfect Fitness Perfect Rip Deck,2/14/2015 18:09,Second Class,1,kg
DEBIT,4,2,2.470000029,123.4899979,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,942,Smith,PR,725,4/27/2015 12:27,León,Nicaragua,7983,6.5,0.050000001,19955,129.9900055,1,129.9900055,123.4899979,Nike Men's CJ Elite 2 TD Football Cleat,05/01/2015 12:27,Second Class,1,kg
DEBIT,2,2,29.95999908,399.4400024,Shipping on time,0,Garden,Caguas,Puerto Rico,18684,Goff,PR,725,01/01/2018 17:23,Surat,India,75131,133.1499939,0.25,178446,532.5800171,1,532.5800171,399.4400024,Lawn mower,01/03/2018 17:23,Second Class,1,kg
CASH,2,1,12.14999962,45,Late delivery,1,Women's Apparel,Vega Baja,Puerto Rico,6648,Ho,PR,693,2/22/2016 7:38,Nagpur,India,28589,5,0.100000001,71551,50,1,50,45,Nike Men's Dri-FIT Victory Golf Polo,2/24/2016 7:38,First Class,1,kg
CASH,2,1,80.98999786,224.9799957,Late delivery,1,Cardio Equipment,Caguas,Puerto Rico,1001,Thomas,PR,725,9/23/2015 1:54,Turin,Italia,18160,74.98999786,0.25,45390,99.98999786,3,299.9700012,224.9799957,Nike Men's Free 5.0+ Running Shoe,9/25/2015 1:54,First Class,1,kg
CASH,2,1,79.16000366,272.9700012,Late delivery,1,Cardio Equipment,Vega Baja,Puerto Rico,6648,Ho,PR,693,2/22/2016 7:38,Nagpur,India,28589,27,0.090000004,71550,99.98999786,3,299.9700012,272.9700012,Nike Men's Free 5.0+ Running Shoe,2/24/2016 7:38,First Class,1,kg
CASH,2,1,108.1699982,235.1600037,Late delivery,1,Cleats,Caguas,Puerto Rico,1001,Thomas,PR,725,9/23/2015 1:54,Turin,Italia,18160,4.800000191,0.02,45389,59.99000168,4,239.9600067,235.1600037,Perfect Fitness Perfect Rip Deck,9/25/2015 1:54,First Class,1,kg
CASH,2,1,102.6500015,327.9700012,Late delivery,1,Cardio Equipment,Vega Baja,Puerto Rico,6648,Ho,PR,693,2/22/2016 7:38,Nagpur,India,28589,71.98999786,0.180000007,71549,99.98999786,4,399.9599915,327.9700012,Nike Men's Free 5.0+ Running Shoe,2/24/2016 7:38,First Class,1,kg
DEBIT,2,4,136.1100006,331.980011,Advance shipping,0,Fishing,Aurora,EE. UU.,10291,Smith,CO,80013,12/31/2015 10:21,Taiping,Malasia,24966,68,0.170000002,62542,399.980011,1,399.980011,331.980011,Field & Stream Sportsman 16 Gun Fire Safe,01/02/2016 10:21,Standard Class,1,kg
DEBIT,2,4,27.20000076,120.8899994,Advance shipping,0,Men's Footwear,Stamford,EE. UU.,11822,Smith,CT,6902,11/22/2016 11:49,Zanyán,Irán,47371,9.100000381,0.07,118438,129.9900055,1,129.9900055,120.8899994,Nike Men's CJ Elite 2 TD Football Cleat,11/24/2016 11:49,Standard Class,1,kg
DEBIT,3,4,168.9799957,499.9500122,Advance shipping,0,Cardio Equipment,Brooklyn,EE. UU.,2687,Smith,NY,11226,05/04/2015 17:31,Villa Nueva,Guatemala,8477,0,0,21160,99.98999786,5,499.9500122,499.9500122,Nike Men's Free 5.0+ Running Shoe,05/07/2015 17:31,Standard Class,1,kg
DEBIT,2,4,22.5,299.9500122,Advance shipping,0,Cleats,West Lafayette,EE. UU.,10462,Smith,IN,47906,02/01/2015 16:14,Mixco,Guatemala,2171,0,0,5430,59.99000168,5,299.9500122,299.9500122,Perfect Fitness Perfect Rip Deck,02/03/2015 16:14,Standard Class,1,kg
DEBIT,2,4,118.8300018,242.5,Advance shipping,0,Women's Apparel,Detroit,EE. UU.,7544,Smith,MI,48238,3/23/2015 5:40,Miramar,México,5566,7.5,0.029999999,13882,50,5,250,242.5,Nike Men's Dri-FIT Victory Golf Polo,3/25/2015 5:40,Standard Class,1,kg
DEBIT,2,4,56.77000046,167.9600067,Advance shipping,0,Shop By Sport,Virginia Beach,EE. UU.,6056,Flores,VA,23464,5/25/2015 22:55,Soyapango,El Salvador,9931,31.98999977,0.159999996,24807,39.99000168,5,199.9499969,167.9600067,Under Armour Girls' Toddler Spine Surge Runni,5/27/2015 22:55,Standard Class,1,kg
DEBIT,2,4,-160.0500031,239.9499969,Advance shipping,0,Electronics,West Lafayette,EE. UU.,10462,Smith,IN,47906,02/01/2015 16:14,Mixco,Guatemala,2171,0,0,5429,47.99000168,5,239.9499969,239.9499969,Titleist Pro V1x Golf Balls,02/03/2015 16:14,Standard Class,1,kg
TRANSFER,3,4,25.20000076,335.9700012,Advance shipping,0,Cardio Equipment,Memphis,EE. UU.,1174,Smith,TN,38109,5/22/2017 8:56,Quetzaltenango,Guatemala,59762,63.99000168,0.159999996,149559,99.98999786,4,399.9599915,335.9700012,Nike Men's Free 5.0+ Running Shoe,5/25/2017 8:56,Standard Class,1,kg
TRANSFER,2,4,34.79000092,119.9700012,Advance shipping,0,Shop By Sport,Milpitas,EE. UU.,1002,Lowe,CA,95035,12/28/2015 12:16,Seúl,Corea del Sur,24766,0,0,62040,39.99000168,3,119.9700012,119.9700012,Under Armour Girls' Toddler Spine Surge Runni,12/30/2015 12:16,Standard Class,1,kg
TRANSFER,2,4,-1.850000024,132,Advance shipping,0,Women's Apparel,South El Monte,EE. UU.,5534,Smith,CA,91733,11/24/2016 5:51,Estambul,Turquía,47491,18,0.119999997,118726,50,3,150,132,Nike Men's Dri-FIT Victory Golf Polo,11/26/2016 5:51,Standard Class,1,kg
TRANSFER,5,4,43.58000183,124.5,Late delivery,1,Women's Apparel,Santa Ana,EE. UU.,11446,Ramos,CA,92707,02/07/2016 6:47,Chaozhou,China,27559,25.5,0.170000002,68987,50,3,150,124.5,Nike Men's Dri-FIT Victory Golf Polo,02/12/2016 6:47,Standard Class,1,kg
CASH,3,4,5.539999962,20.5,Advance shipping,0,Hockey,Caguas,Puerto Rico,10074,Chen,PR,725,04/03/2015 8:16,Los Mochis,México,6327,4.5,0.180000007,15836,25,1,25,20.5,Nike Women's Legend V-Neck T-Shirt,04/06/2015 8:16,Standard Class,1,kg
CASH,2,1,71.33999634,245.9799957,Late delivery,1,Camping & Hiking,La Crosse,EE. UU.,9119,Smith,WI,54601,3/30/2015 16:41,Maracay,Venezuela,6077,54,0.180000007,15168,299.980011,1,299.980011,245.9799957,Diamondback Women's Serene Classic Comfort Bi,04/01/2015 16:41,First Class,1,kg
CASH,2,1,11.52000046,101.9800034,Late delivery,1,Cleats,La Crosse,EE. UU.,9119,Smith,WI,54601,3/30/2015 16:41,Maracay,Venezuela,6077,18,0.150000006,15166,59.99000168,2,119.9800034,101.9800034,Perfect Fitness Perfect Rip Deck,04/01/2015 16:41,First Class,1,kg
CASH,2,1,123.4700012,251.9700012,Late delivery,1,Cardio Equipment,Orange Park,EE. UU.,666,Simpson,FL,32073,4/22/2017 23:41,Mejicanos,El Salvador,57749,48,0.159999996,144480,99.98999786,3,299.9700012,251.9700012,Nike Men's Free 5.0+ Running Shoe,4/24/2017 23:41,First Class,1,kg
PAYMENT,6,4,39.59999847,132,Late delivery,1,Women's Apparel,Caguas,Puerto Rico,10451,Soto,PR,725,1/14/2016 5:04,Bekasi,Indonesia,25910,18,0.119999997,64857,50,3,150,132,Nike Men's Dri-FIT Victory Golf Polo,1/20/2016 5:04,Standard Class,1,kg
PAYMENT,6,4,45.25,98.37999725,Late delivery,1,Shop By Sport,Caguas,Puerto Rico,10451,Soto,PR,725,1/14/2016 5:04,Bekasi,Indonesia,25910,21.59000015,0.180000007,64855,39.99000168,3,119.9700012,98.37999725,Under Armour Girls' Toddler Spine Surge Runni,1/20/2016 5:04,Standard Class,1,kg
PAYMENT,3,4,218.3800049,454.9500122,Advance shipping,0,Cardio Equipment,Caguas,Puerto Rico,10595,Smith,PR,725,7/22/2015 8:07,Le Blanc-Mesnil,Francia,13862,45,0.090000004,34725,99.98999786,5,499.9500122,454.9500122,Nike Men's Free 5.0+ Running Shoe,7/25/2015 8:07,Standard Class,1,kg
DEBIT,2,2,11.48999977,33.79000092,Shipping on time,0,Video Games,Caguas,Puerto Rico,19799,Beard,PR,725,1/18/2018 0:01,Baotou,China,76246,5.960000038,0.150000006,179561,39.75,1,39.75,33.79000092,Fighting video games,1/20/2018 0:01,Second Class,1,kg
DEBIT,6,2,51.97999954,120.8899994,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,475,Gibbs,PR,725,01/09/2017 22:36,Doha,Qatar,50690,9.100000381,0.07,126680,129.9900055,1,129.9900055,120.8899994,Nike Men's CJ Elite 2 TD Football Cleat,1/15/2017 22:36,Second Class,1,kg
DEBIT,4,2,8.100000381,107.9800034,Late delivery,1,Cleats,Caguas,Puerto Rico,1488,Hubbard,PR,,02/06/2017 1:33,Sonsonate,El Salvador,52548,12,0.100000001,131348,59.99000168,2,119.9800034,107.9800034,Perfect Fitness Perfect Rip Deck,02/10/2017 1:33,Second Class,1,kg
DEBIT,4,2,44.36000061,152.9700012,Late delivery,1,Cleats,Caguas,Puerto Rico,7652,Guerrero,PR,725,02/10/2015 18:09,Tegucigalpa,Honduras,2793,27,0.150000006,7013,59.99000168,3,179.9700012,152.9700012,Perfect Fitness Perfect Rip Deck,2/14/2015 18:09,Second Class,1,kg
DEBIT,2,2,87.73999786,269.9700012,Shipping on time,0,Cardio Equipment,Vega Baja,Puerto Rico,9697,Williams,PR,693,1/30/2016 19:04,Bendigo,Australia,27046,30,0.100000001,67767,99.98999786,3,299.9700012,269.9700012,Nike Men's Free 5.0+ Running Shoe,02/01/2016 19:04,Second Class,1,kg
DEBIT,2,2,-78.09999847,111.5699997,Shipping on time,0,Shop By Sport,Vega Baja,Puerto Rico,9697,Williams,PR,693,1/30/2016 19:04,Bendigo,Australia,27046,8.399999619,0.07,67764,39.99000168,3,119.9700012,111.5699997,Under Armour Girls' Toddler Spine Surge Runni,02/01/2016 19:04,Second Class,1,kg
DEBIT,3,4,37.84000015,120.8899994,Advance shipping,0,Men's Footwear,Chandler,EE. UU.,7559,Bishop,AZ,85224,04/09/2016 22:49,Wilmington,Estados Unidos,31852,9.100000381,0.07,79597,129.9900055,1,129.9900055,120.8899994,Nike Men's CJ Elite 2 TD Football Cleat,04/12/2016 22:49,Standard Class,1,kg
DEBIT,4,4,16.79999924,48,Shipping on time,0,Women's Apparel,Clarksville,EE. UU.,8090,Martinez,TN,37042,08/07/2016 7:14,Saint Louis,Estados Unidos,40028,2,0.039999999,99880,50,1,50,48,Nike Men's Dri-FIT Victory Golf Polo,08/11/2016 7:14,Standard Class,1,kg
DEBIT,3,4,6.239999771,23.98999977,Advance shipping,0,Electronics,Chandler,EE. UU.,7559,Bishop,AZ,85224,04/09/2016 22:49,Wilmington,Estados Unidos,31852,8,0.25,79595,31.98999977,1,31.98999977,23.98999977,Bridgestone e6 Straight Distance NFL San Dieg,04/12/2016 22:49,Standard Class,1,kg
DEBIT,4,4,53.93999863,165.9799957,Shipping on time,0,Cardio Equipment,Hollister,EE. UU.,6027,Moore,CA,95023,06/07/2017 7:09,Tlalpan,México,60853,34,0.170000002,152271,99.98999786,2,199.9799957,165.9799957,Nike Men's Free 5.0+ Running Shoe,06/11/2017 7:09,Standard Class,1,kg
DEBIT,6,4,-475.1199951,296.9500122,Late delivery,1,Cleats,Far Rockaway,EE. UU.,5469,Bradley,NY,11691,2/23/2016 12:01,Anshan,China,28670,3,0.01,71759,59.99000168,5,299.9500122,296.9500122,Perfect Fitness Perfect Rip Deck,2/29/2016 12:01,Standard Class,1,kg
DEBIT,6,4,81.37999725,232.5,Late delivery,1,Women's Apparel,Metairie,EE. UU.,1018,Smith,LA,70003,5/27/2016 8:44,Jacksonville,Estados Unidos,35100,17.5,0.07,87660,50,5,250,232.5,Nike Men's Dri-FIT Victory Golf Polo,06/02/2016 8:44,Standard Class,1,kg
DEBIT,4,4,-116.0699997,158.3500061,Shipping on time,0,Electronics,Hamtramck,EE. UU.,7839,Wells,MI,48212,8/18/2016 5:59,Dallas,Estados Unidos,40778,1.600000024,0.01,101767,31.98999977,5,159.9499969,158.3500061,Bridgestone e6 Straight Distance NFL Tennesse,8/22/2016 5:59,Standard Class,1,kg
PAYMENT,2,1,-12.75,42.5,Late delivery,1,Women's Apparel,San Jose,EE. UU.,8396,Brady,CA,95148,7/29/2015 20:54,Hamburgo,Alemania,14378,7.5,0.150000006,35986,50,1,50,42.5,Nike Men's Dri-FIT Victory Golf Polo,7/31/2015 20:54,First Class,1,kg
TRANSFER,6,4,-265.5700073,331.9700012,Late delivery,1,Cardio Equipment,Folsom,EE. UU.,6386,Smith,CA,95630,07/03/2015 13:13,Madrid,España,12575,67.98999786,0.170000002,31476,99.98999786,4,399.9599915,331.9700012,Nike Men's Free 5.0+ Running Shoe,07/09/2015 13:13,Standard Class,1,kg
TRANSFER,4,4,97.13999939,211.1600037,Shipping on time,0,Cleats,Pompano Beach,EE. UU.,1537,Murray,FL,33064,8/13/2015 4:14,Carcassonne,Francia,15358,28.79999924,0.119999997,38404,59.99000168,4,239.9600067,211.1600037,Perfect Fitness Perfect Rip Deck,8/17/2015 4:14,Standard Class,1,kg
TRANSFER,2,4,54.0699997,159.9600067,Advance shipping,0,Shop By Sport,Milpitas,EE. UU.,1002,Lowe,CA,95035,12/28/2015 12:16,Seúl,Corea del Sur,24766,0,0,62041,39.99000168,4,159.9600067,159.9600067,Under Armour Girls' Toddler Spine Surge Runni,12/30/2015 12:16,Standard Class,1,kg
TRANSFER,4,4,69.87000275,145.5500031,Shipping on time,0,Electronics,Pompano Beach,EE. UU.,1537,Murray,FL,33064,8/13/2015 4:14,Carcassonne,Francia,15358,14.39999962,0.090000004,38401,31.98999977,5,159.9499969,145.5500031,Under Armour Women's Ignite PIP VI Slide,8/17/2015 4:14,Standard Class,1,kg
TRANSFER,3,4,-68.27999878,251.9600067,Advance shipping,0,Cleats,Newark,EE. UU.,5941,Smith,OH,43055,6/17/2015 3:47,Cognac,Francia,11452,47.99000168,0.159999996,28651,59.99000168,5,299.9500122,251.9600067,Perfect Fitness Perfect Rip Deck,6/20/2015 3:47,Standard Class,1,kg
TRANSFER,4,4,66.94000244,148.75,Shipping on time,0,Electronics,Pompano Beach,EE. UU.,1537,Murray,FL,33064,8/13/2015 4:14,Carcassonne,Francia,15358,11.19999981,0.07,38405,31.98999977,5,159.9499969,148.75,Bridgestone e6 Straight Distance NFL Tennesse,8/17/2015 4:14,Standard Class,1,kg
TRANSFER,2,1,54.90999985,114.3899994,Shipping canceled,0,Men's Footwear,Caguas,Puerto Rico,6918,Smith,PR,725,6/20/2015 16:13,Leeds,Reino Unido,11693,15.60000038,0.119999997,29239,129.9900055,1,129.9900055,114.3899994,Nike Men's CJ Elite 2 TD Football Cleat,6/22/2015 16:13,First Class,1,kg
TRANSFER,2,1,20.25,269.9700012,Late delivery,1,Cardio Equipment,Caguas,Puerto Rico,5594,Davidson,PR,725,03/09/2016 9:22,Edogawa-ku,Japón,29690,30,0.100000001,74283,99.98999786,3,299.9700012,269.9700012,Nike Men's Free 5.0+ Running Shoe,03/11/2016 9:22,First Class,1,kg
TRANSFER,4,4,60.52000046,126.0899963,Shipping on time,0,Men's Footwear,Caguas,Puerto Rico,10906,Smith,PR,725,09/02/2017 10:43,El Prat de Llobregat,España,66823,3.900000095,0.029999999,167033,129.9900055,1,129.9900055,126.0899963,Nike Men's CJ Elite 2 TD Football Cleat,09/06/2017 10:43,Standard Class,1,kg
TRANSFER,5,4,31.59000015,116.9899979,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,6205,Smith,PR,725,6/19/2015 19:33,Valencia,España,11634,13,0.100000001,29087,129.9900055,1,129.9900055,116.9899979,Nike Men's CJ Elite 2 TD Football Cleat,6/24/2015 19:33,Standard Class,1,kg
TRANSFER,6,4,182.75,406.1000061,Late delivery,1,Crafts,Caguas,Puerto Rico,14833,Frye,PR,725,11/06/2017 12:12,London,Reino Unido,71280,55.38000107,0.119999997,174595,461.480011,1,461.480011,406.1000061,Porcelain crafts,11/12/2017 12:12,Standard Class,1,kg
TRANSFER,4,4,10,50,Shipping on time,0,Women's Apparel,Caguas,Puerto Rico,10906,Smith,PR,725,09/02/2017 10:43,El Prat de Llobregat,España,66823,0,0,167036,50,1,50,50,Nike Men's Dri-FIT Victory Golf Polo,09/06/2017 10:43,Standard Class,1,kg
TRANSFER,5,4,20.09000015,41,Late delivery,1,Women's Apparel,Caguas,Puerto Rico,6205,Smith,PR,725,6/19/2015 19:33,Valencia,España,11634,9,0.180000007,29086,50,1,50,41,Nike Men's Dri-FIT Victory Golf Polo,6/24/2015 19:33,Standard Class,1,kg
TRANSFER,5,4,33.15000153,254.9799957,Late delivery,1,Camping & Hiking,Caguas,Puerto Rico,6205,Smith,PR,725,6/19/2015 19:33,Valencia, ee. uu. ,11634,45,0.150000006,29084,299.980011,1,299.980011,254.9799957,Diamondback Women's Serene Classic Comfort Bi,6/24/2015 19:33,Standard Class,1,kg
DEBIT,4,2,13.5,180,Late delivery,1,Women's Apparel,Caguas,Puerto Rico,942,Smith,PR,725,4/27/2015 12:27,León,Nicaragua,7983,20,0.100000001,19957,50,4,200,180,Nike Men's Dri-FIT Victory Golf Polo,05/01/2015 12:27,Second Class,1,kg
DEBIT,6,2,-22.44000053,134.3699951,Late delivery,1,Shop By Sport,Caguas,Puerto Rico,475,Gibbs,PR,725,01/09/2017 22:36,Doha,Qatar,50690,25.59000015,0.159999996,126679,39.99000168,4,159.9600067,134.3699951,Under Armour Girls' Toddler Spine Surge Runni,1/15/2017 22:36,Second Class,1,kg
DEBIT,4,2,88.80999756,188.9499969,Late delivery,1,Shop By Sport,Caguas,Puerto Rico,942,Smith,PR,725,4/27/2015 12:27,León,Nicaragua,7983,11,0.059999999,19953,39.99000168,5,199.9499969,188.9499969,Under Armour Girls' Toddler Spine Surge Runni,05/01/2015 12:27,Second Class,1,kg
